Age,Gender,Education Level,Job Title,Years of Experience,Salary,marital-status,workclass
36,Female,Bachelor's,Administrative Assistant,8,45000, Separated, Private
41,Male,Master's,Strategy Consultant,13,130000, Never-married, Private
28,Female,Bachelor's,Copywriter,2,40000, Married-civ-spouse, Federal-gov
32,Male,Bachelor's,Account Manager,5,75000, Married-civ-spouse, Private
45,Female,Master's,Director of Marketing,16,180000, Divorced, Private
38,Male,PhD,Senior Scientist,11,120000, Married-civ-spouse, State-gov
25,Male,Bachelor's,Help Desk Analyst,0,35000, Never-married, Private
51,Female,Bachelor's,Customer Service Manager,22,130000, Married-civ-spouse, Private
33,Male,Master's,Business Intelligence Analyst,7,85000, Never-married, Private
40,Female,Bachelor's,Event Coordinator,12,60000, Married-civ-spouse, Private
47,Male,Master's,VP of Finance,19,200000, Divorced, Federal-gov
29,Female,Bachelor's,Graphic Designer,3,50000, Divorced, Self-emp-inc
36,Male,Bachelor's,Sales Manager,9,95000, Married-civ-spouse, Private
27,Female,Master's,UX Researcher,2,65000, Married-civ-spouse, Private
43,Male,PhD,Senior Engineer,17,140000, Married-civ-spouse, Private
30,Female,Bachelor's,Social Media Manager,4,55000, Married-civ-spouse, Private
35,Male,Master's,Product Manager,7,105000, Married-civ-spouse, Private
51,Female,Master's,Director of Operations,23,170000, Married-civ-spouse, Private
29,Male,Bachelor's,Marketing Analyst,3,50000, Married-spouse-absent, ?
40,Female,Bachelor's,HR Manager,12,80000, Married-civ-spouse, Private
47,Male,PhD,Senior Data Scientist,21,180000, Married-civ-spouse, Private
26,Male,Bachelor's,Junior Accountant,1,35000, Divorced, Private
38,Female,Master's,Digital Marketing Manager,10,90000, Married-civ-spouse, Private
46,Male,Bachelor's,IT Manager,19,120000, Divorced, Private
31,Female,Bachelor's,Customer Service Representative,5,45000, Married-civ-spouse, Private
34,Male,Master's,Business Development Manager,8,90000, Married-civ-spouse, Self-emp-inc
49,Female,Master's,Senior Financial Analyst,18,150000, Never-married, ?
33,Male,Bachelor's,Web Developer,6,65000, Never-married, Private
39,Female,Bachelor's,Recruiter,11,70000, Separated, Private
45,Male,PhD,Research Director,16,190000, Married-civ-spouse, Self-emp-not-inc
28,Male,Bachelor's,Technical Support Specialist,2,40000, Never-married, Private
42,Female,Master's,Creative Director,14,120000, Married-civ-spouse, Private
37,Male,Bachelor's,Project Manager,10,95000, Never-married, Private
50,Female,Bachelor's,Operations Manager,22,160000, Married-civ-spouse, Private
32,Male,Master's,Senior Software Engineer,6,100000, Married-civ-spouse, ?
48,Female,Master's,Human Resources Director,20,180000, Never-married, Private
30,Female,Bachelor's,Content Marketing Manager,3,55000, Married-civ-spouse, Local-gov
36,Male,Bachelor's,Technical Recruiter,8,70000, Never-married, Private
41,Female,Master's,Data Analyst,13,80000, Married-civ-spouse, Private
25,Male,Bachelor's,Sales Representative,0,30000, Married-civ-spouse, Private
52,Male,PhD,Chief Technology Officer,24,250000, Married-civ-spouse, Private
29,Female,Bachelor's,Junior Designer,2,40000, Divorced, Private
34,Female,Master's,Financial Advisor,10,95000, Divorced, Private
27,Male,Bachelor's,Junior Account Manager,2,45000, Married-civ-spouse, Local-gov
40,Female,Bachelor's,HR Generalist,15,80000, Married-civ-spouse, Private
46,Male,Master's,Senior Project Manager,21,135000, Never-married, Private
31,Female,Bachelor's,Marketing Coordinator,6,55000, Never-married, Federal-gov
36,Male,PhD,Principal Scientist,11,120000, Married-civ-spouse, Private
29,Female,Bachelor's,Sales Associate,3,40000, Divorced, Private
43,Male,Bachelor's,Supply Chain Manager,18,105000, Divorced, Private
52,Female,Master's,Senior Marketing Manager,25,170000, Married-civ-spouse, Private
33,Male,Bachelor's,Business Analyst,7,75000, Married-civ-spouse, Local-gov
39,Female,Bachelor's,Training Specialist,12,65000, Never-married, Local-gov
47,Male,PhD,Research Scientist,22,160000, Married-civ-spouse, Self-emp-not-inc
26,Male,Bachelor's,Junior Software Developer,1,35000, Married-civ-spouse, Private
38,Female,Master's,Public Relations Manager,10,90000, Divorced, Private
45,Male,Bachelor's,Operations Analyst,20,110000, Never-married, Federal-gov
31,Female,Bachelor's,Event Coordinator,5,45000, Married-civ-spouse, Private
35,Male,Master's,Product Marketing Manager,8,95000, Married-civ-spouse, Private
49,Female,Master's,Senior HR Manager,19,150000, Never-married, Self-emp-not-inc
33,Male,Bachelor's,Junior Web Developer,5,50000, Never-married, Private
39,Female,Master's,Senior Project Coordinator,13,80000, Never-married, Private
44,Male,PhD,Chief Data Officer,16,220000, Married-civ-spouse, Self-emp-inc
30,Female,Bachelor's,Digital Content Producer,3,50000, Never-married, ?
36,Male,Bachelor's,IT Support Specialist,7,60000, Never-married, Private
41,Female,Master's,Senior Marketing Analyst,14,100000, Never-married, Local-gov
28,Male,Bachelor's,Customer Success Manager,2,40000, Married-civ-spouse, Private
42,Female,Master's,Senior Graphic Designer,15,110000, Never-married, Private
37,Male,Bachelor's,Software Project Manager,9,95000, Married-civ-spouse, Private
50,Female,Bachelor's,Supply Chain Analyst,22,130000, Married-civ-spouse, Self-emp-not-inc
32,Male,Master's,Senior Business Analyst,6,90000, Married-civ-spouse, Private
23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000, Never-married, Private
31,Male,Master's,Senior Financial Analyst,6,95000, Married-civ-spouse, Private
40,Female,Bachelor's,Office Manager,15,65000, Married-civ-spouse, Self-emp-inc
48,Male,PhD,Principal Engineer,20,170000, Married-civ-spouse, Local-gov
29,Female,Bachelor's,Junior HR Generalist,3,45000, Married-civ-spouse, Private
35,Male,Master's,Senior Product Manager,10,120000, Never-married, Private
42,Female,Bachelor's,Sales Manager,17,100000, Never-married, Private
53,Male,Master's,Director of Marketing,25,180000, Married-civ-spouse, Private
33,Female,Bachelor's,Junior Operations Analyst,5,50000, Never-married, Private
38,Male,Bachelor's,Customer Service Manager,11,80000, Married-civ-spouse, State-gov
44,Female,PhD,Senior Scientist,16,140000, Never-married, Private
26,Male,Bachelor's,Junior Accountant,2,40000, Married-civ-spouse, Private
37,Female,Master's,Senior HR Generalist,9,95000, Never-married, Private
45,Male,Bachelor's,Sales Operations Manager,18,110000, Married-civ-spouse, Private
32,Female,Bachelor's,Marketing Coordinator,4,50000, Married-civ-spouse, ?
34,Male,Master's,Senior Software Developer,8,105000, Divorced, Private
50,Female,Master's,Director of Operations,21,160000, Never-married, Private
29,Male,Bachelor's,Junior Web Designer,3,45000, Never-married, Private
40,Female,Master's,Senior Training Specialist,12,100000, Married-civ-spouse, Self-emp-not-inc
47,Male,PhD,Senior Research Scientist,22,160000, Married-civ-spouse, Private
27,Male,Bachelor's,Junior Sales Representative,1,35000, Divorced, Private
39,Female,Bachelor's,Administrative Assistant,10,55000, Married-civ-spouse, Federal-gov
46,Male,Master's,Senior Project Manager,19,140000, Married-civ-spouse, Self-emp-not-inc
30,Female,Bachelor's,Junior Marketing Manager,4,50000, Married-civ-spouse, Private
36,Male,Bachelor's,Junior Data Analyst,7,60000, Never-married, Private
43,Female,Master's,Senior Product Marketing Manager,14,120000, Married-civ-spouse, Private
28,Male,Bachelor's,Junior Business Analyst,2,40000, Married-civ-spouse, Self-emp-inc
41,Female,Master's,Senior Marketing Manager,13,110000, Never-married, Private
33,Male,Bachelor's,Junior Software Developer,5,50000, Never-married, Private
47,Male,Bachelor's,Senior Sales Manager,20,135000, Never-married, Private
25,Female,Master's,Junior Marketing Specialist,1.5,40000, Never-married, Private
34,Male,Bachelor's,Senior Business Analyst,8,90000, Never-married, Private
42,Female,PhD,Senior Data Scientist,16,150000, Married-civ-spouse, Private
31,Male,Bachelor's,Junior Project Manager,4,60000, Widowed, Private
38,Female,Bachelor's,Senior Accountant,10,80000, Married-civ-spouse, Private
45,Male,Master's,Director of Sales,19,175000, Divorced, ?
29,Female,Bachelor's,Junior Recruiter,3,45000, Divorced, Local-gov
36,Male,Master's,Senior Business Development Manager,11,120000, Never-married, Private
43,Female,PhD,Senior Product Designer,18,140000, Never-married, Private
26,Male,Bachelor's,Junior Customer Support Specialist,2,35000, Never-married, Private
37,Female,Master's,Senior Marketing Analyst,9,95000, Divorced, ?
44,Male,Bachelor's,Senior IT Support Specialist,14,110000, Married-civ-spouse, Private
32,Female,Bachelor's,Junior Financial Analyst,5,50000, Never-married, Private
33,Male,Master's,Senior Operations Manager,7,115000, Separated, Self-emp-not-inc
51,Female,PhD,Director of Human Resources,23,185000, Divorced, Private
28,Male,Bachelor's,Junior Software Engineer,2,40000, Separated, Private
39,Female,Bachelor's,Senior Sales Representative,12,90000, Divorced, ?
48,Male,Master's,Director of Product Management,21,175000, Never-married, Private
30,Female,Bachelor's,Junior Copywriter,3,45000, Divorced, Self-emp-inc
35,Male,Bachelor's,Senior Marketing Coordinator,7,80000, Never-married, Private
41,Female,Master's,Senior Human Resources Manager,13,120000, Married-civ-spouse, Self-emp-not-inc
27,Male,Bachelor's,Junior Business Development Associate,1.5,35000, Divorced, Private
40,Female,Bachelor's,Senior Account Manager,14,110000, Never-married, Federal-gov
46,Male,PhD,Senior Researcher,18,150000, Widowed, State-gov
31,Female,Bachelor's,Junior HR Coordinator,4,50000, Never-married, Private
34,Male,Master's,Senior Software Engineer,9,105000, Widowed, Local-gov
50,Female,Master's,Director of Finance,20,180000, Never-married, Private
29,Male,Bachelor's,Junior Marketing Coordinator,2,40000, Married-civ-spouse, State-gov
,,,,,, Married-civ-spouse, Private
43,Male,Bachelor's,Senior Project Manager,16,140000, Never-married, Private
26,Female,Master's,Junior Data Scientist,1.5,45000, Married-civ-spouse, State-gov
35,Male,Bachelor's,Senior Operations Analyst,7,85000, Married-spouse-absent, Private
42,Female,PhD,Senior Marketing Manager,18,140000, Never-married, Private
31,Male,Bachelor's,Junior Accountant,4,50000, Never-married, Private
38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000, Never-married, Private
46,Male,Master's,Director of Operations,20,170000, Married-civ-spouse, Private
29,Female,Bachelor's,Junior Sales Representative,2,40000, Married-civ-spouse, Local-gov
37,Male,Master's,Senior Business Analyst,9,105000, Divorced, Private
44,Female,PhD,Senior UX Designer,15,145000, Never-married, Private
27,Male,Bachelor's,Junior Product Manager,2,40000, Married-civ-spouse, Private
36,Female,Bachelor's,Senior Marketing Specialist,8,85000, Married-civ-spouse, Federal-gov
43,Male,Bachelor's,Senior IT Project Manager,14,130000, Married-civ-spouse, Private
33,Female,Master's,Senior Financial Analyst,6,95000, Divorced, Self-emp-not-inc
34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000, Divorced, ?
50,Female,PhD,Director of Sales and Marketing,22,180000, Married-civ-spouse, Private
28,Male,Bachelor's,Junior Operations Analyst,1.5,35000, Married-civ-spouse, State-gov
39,Female,Bachelor's,Senior Account Executive,12,95000, Divorced, Private
47,Male,Master's,Director of Business Development,19,170000, Married-civ-spouse, Private
30,Female,Bachelor's,Junior Social Media Manager,3,45000, Married-civ-spouse, Local-gov
34,Male,Bachelor's,Senior Product Manager,7,95000, Married-civ-spouse, Private
40,Female,Master's,Senior Human Resources Specialist,13,120000, Married-civ-spouse, Federal-gov
28,Male,Bachelor's,Junior Business Analyst,2,40000, Married-civ-spouse, Private
41,Female,Bachelor's,Senior Marketing Coordinator,11,90000, Divorced, Private
45,Male,PhD,Senior Data Analyst,17,155000, Never-married, Federal-gov
32,Female,Bachelor's,Junior Account Manager,5,55000, Married-civ-spouse, Private
35,Male,Master's,Senior Software Developer,9,110000, Never-married, Self-emp-not-inc
49,Female,Master's,Director of Human Capital,21,180000, Never-married, Private
30,Male,Bachelor's,Junior Advertising Coordinator,3,45000, Never-married, ?
44,Male,Bachelor's,Senior Sales Manager,16,130000, Married-civ-spouse, Private
27,Female,Master's,Junior UX Designer,1.5,45000, Never-married, Local-gov
36,Male,Bachelor's,Senior Accountant,7,90000, Divorced, State-gov
41,Female,PhD,Senior Marketing Director,17,160000, Never-married, Private
31,Male,Bachelor's,Junior HR Generalist,4,50000, Married-civ-spouse, Private
39,Female,Bachelor's,Senior Operations Manager,10,120000, Divorced, Private
47,Male,Master's,Director of Finance,20,170000, Married-civ-spouse, Self-emp-inc
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000, Never-married, Private
38,Male,Master's,Senior IT Consultant,9,110000, Married-civ-spouse, Local-gov
45,Female,PhD,Senior Product Designer,15,150000, Married-civ-spouse, Private
28,Male,Bachelor's,Junior Business Development Associate,2,40000, Never-married, Private
35,Female,Bachelor's,Senior Marketing Analyst,8,85000, Married-civ-spouse, Private
44,Male,Bachelor's,Senior Software Engineer,14,130000, Married-civ-spouse, Self-emp-inc
34,Female,Master's,Senior Financial Advisor,6,100000, Never-married, Private
35,Male,Bachelor's,Senior Project Coordinator,9,95000, Divorced, Private
50,Female,PhD,Director of Operations,22,180000, Married-civ-spouse, Private
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000, Married-civ-spouse, Private
40,Female,Bachelor's,Senior Sales Representative,12,100000, Never-married, Private
48,Male,Master's,Director of Marketing,19,170000, Married-civ-spouse, Private
31,Female,Bachelor's,Junior Social Media Specialist,3,45000, Divorced, ?
33,Male,Bachelor's,Senior Product Development Manager,7,100000, Never-married, Private
42,Female,Master's,Senior Human Resources Manager,13,140000, Married-civ-spouse, Private
28,Male,Bachelor's,Junior Financial Analyst,2,40000, Never-married, Local-gov
40,Female,Bachelor's,Senior Marketing Manager,11,105000, Never-married, Private
46,Male,PhD,Senior Data Scientist,18,160000, Divorced, ?
33,Female,Bachelor's,Junior Operations Manager,5,70000, Married-civ-spouse, Self-emp-not-inc
37,Male,Master's,Senior Software Architect,9,120000, Widowed, Private
51,Female,Master's,Director of Human Resources,21,190000, Divorced, Private
30,Male,Bachelor's,Junior Marketing Specialist,3,45000, Separated, Private
43,Male,Bachelor's,Senior Project Manager,15,120000, Divorced, Private
27,Female,Master's,Junior Research Scientist,1.5,50000, Never-married, Private
35,Male,Bachelor's,Senior Operations Analyst,8,85000, Divorced, Private
42,Female,PhD,Senior Marketing Manager,13,140000, Never-married, Private
32,Male,Bachelor's,Junior Sales Representative,3,45000, Married-civ-spouse, State-gov
37,Female,Bachelor's,Senior Financial Analyst,9,100000, Never-married, State-gov
45,Male,Master's,Senior Software Developer,16,140000, Married-civ-spouse, Private
33,Female,Bachelor's,Junior Operations Analyst,5,70000, Married-civ-spouse, Local-gov
39,Male,Bachelor's,Senior Marketing Specialist,10,120000, Never-married, Private
44,Female,PhD,Senior HR Manager,18,160000, Married-civ-spouse, Private
29,Male,Bachelor's,Junior Business Analyst,1.5,40000, Married-civ-spouse, Self-emp-not-inc
38,Female,Bachelor's,Senior Product Manager,10,120000, Married-civ-spouse, State-gov
46,Male,PhD,Senior Data Analyst,19,150000, Never-married, ?
34,Female,Bachelor's,Junior Marketing Analyst,6,70000, Divorced, Private
36,Male,Bachelor's,Senior Operations Manager,8,95000, Married-civ-spouse, Private
49,Female,Master's,Director of Marketing,21,180000, Married-civ-spouse, Private
31,Male,Bachelor's,Junior Financial Analyst,3,50000, Never-married, Private
41,Female,Bachelor's,Senior Project Coordinator,11,95000, Married-civ-spouse, Private
47,Male,Master's,Director of Operations,20,170000, Married-civ-spouse, Private
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000, Married-civ-spouse, Private
38,Male,Master's,Senior IT Consultant,9,110000, Married-civ-spouse, Private
45,Female,PhD,Senior Product Designer,15,150000, Widowed, Local-gov
28,Male,Bachelor's,Junior Business Development Associate,2,40000, Never-married, Local-gov
35,Female,Bachelor's,Senior Marketing Analyst,8,85000, Never-married, Private
44,Male,Bachelor's,Senior Software Engineer,14,130000, Married-civ-spouse, Self-emp-not-inc
34,Female,Master's,Senior Financial Advisor,6,100000, Never-married, Private
35,Male,Bachelor's,Senior Project Coordinator,9,95000, Separated, Private
50,Female,PhD,Director of Operations,22,180000, Widowed, Private
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,350, Divorced, Private
,,,,,, Divorced, Private
37,Female,Bachelor's,Senior Financial Manager,10,120000, Married-civ-spouse, Private
46,Male,PhD,Senior Data Scientist,18,160000, Never-married, Private
31,Female,Bachelor's,Junior Marketing Coordinator,3,50000, Married-civ-spouse, Private
42,Male,Bachelor's,Senior Operations Manager,12,110000, Married-civ-spouse, Private
29,Female,Bachelor's,Junior Sales Representative,1.5,40000, Married-civ-spouse, Self-emp-inc
36,Male,Bachelor's,Senior Marketing Specialist,8,95000, Never-married, ?
44,Female,Master's,Senior HR Specialist,15,140000, Married-civ-spouse, Private
33,Male,Bachelor's,Junior Operations Manager,4,60000, Never-married, Private
39,Female,Bachelor's,Senior Marketing Coordinator,9,110000, Married-civ-spouse, Private
45,Male,PhD,Senior Data Engineer,16,150000, Married-civ-spouse, Private
32,Female,Bachelor's,Junior Marketing Manager,4,60000, Never-married, Private
37,Male,Bachelor's,Senior Financial Analyst,8,90000, Married-civ-spouse, Self-emp-not-inc
47,Female,Master's,Director of Marketing,20,180000, Never-married, Local-gov
30,Male,Bachelor's,Junior Business Analyst,2,40000, Divorced, Private
38,Female,Bachelor's,Senior Project Manager,9,120000, Married-civ-spouse, Private
46,Male,PhD,Senior Data Analyst,17,160000, Married-civ-spouse, Private
34,Female,Bachelor's,Junior Financial Analyst,5,70000, Never-married, Private
36,Male,Bachelor's,Senior Product Manager,8,95000, Never-married, Private
49,Female,Master's,Director of Operations,21,180000, Married-civ-spouse, Private
31,Male,Bachelor's,Junior Operations Analyst,3,50000, Never-married, Private
41,Female,Bachelor's,Senior Project Coordinator,11,95000, Married-civ-spouse, Local-gov
47,Male,Master's,Director of Marketing,19,170000, Divorced, Private
29,Female,Bachelor's,Junior Business Development Associate,1.5,35000, Divorced, Private
35,Male,Bachelor's,Senior Financial Manager,9,100000, Never-married, Private
44,Female,PhD,Senior Product Designer,15,150000, Married-civ-spouse, Federal-gov
33,Male,Bachelor's,Junior Business Analyst,4,60000, Married-civ-spouse, Private
35,Female,Bachelor's,Senior Marketing Analyst,8,85000, Divorced, Private
44,Male,Bachelor's,Senior Software Engineer,13,130000, Never-married, Private
32,Male,Bachelor's,Junior Product Manager,4,65000, Married-civ-spouse, Private
38,Female,Bachelor's,Senior Business Analyst,10,110000, Married-civ-spouse, Private
49,Male,PhD,Director of Operations,21,180000, Divorced, Private
29,Female,Bachelor's,Junior Marketing Specialist,2,40000, Never-married, Local-gov
35,Male,Bachelor's,Senior Business Development Manager,7,90000, Never-married, Private
45,Female,Master's,Senior HR Manager,14,140000, Never-married, Private
33,Male,Bachelor's,Junior Financial Analyst,4,60000, Married-civ-spouse, Private
40,Female,Bachelor's,Senior Marketing Manager,12,130000, Divorced, Self-emp-inc
44,Male,PhD,Senior Data Scientist,16,160000, Married-civ-spouse, ?
30,Female,Bachelor's,Junior Operations Coordinator,2,40000, Never-married, Private
37,Male,Bachelor's,Senior Marketing Analyst,9,100000, Divorced, Private
48,Female,Master's,Director of HR,20,180000, Married-civ-spouse, Private
31,Male,Bachelor's,Junior Project Manager,3,55000, Never-married, Private
38,Female,Bachelor's,Senior Operations Coordinator,9,120000, Married-civ-spouse, Private
45,Male,PhD,Senior Data Engineer,16,150000, Married-civ-spouse, Private
33,Female,Bachelor's,Junior Marketing Manager,5,70000, Married-civ-spouse, Private
36,Male,Bachelor's,Senior Business Analyst,8,95000, Divorced, Private
49,Female,Master's,Director of Marketing,21,180000, Never-married, Private
31,Male,Bachelor's,Junior Operations Analyst,3,50000, Never-married, Private
42,Female,Bachelor's,Senior Project Manager,12,120000, Married-civ-spouse, Private
47,Male,Master's,Director of Marketing,19,170000, Married-civ-spouse, Self-emp-inc
29,Female,Bachelor's,Junior Business Development Associate,1.5,35000, Never-married, Private
35,Male,Bachelor's,Senior Financial Manager,9,100000, Married-civ-spouse, Private
44,Female,PhD,Senior Product Designer,15,150000, Never-married, ?
33,Male,Bachelor's,Junior Business Analyst,4,60000, Divorced, Self-emp-not-inc
35,Female,Bachelor's,Senior Marketing Analyst,8,85000, Never-married, Private
44,Male,Bachelor's,Senior Software Engineer,13,130000, Never-married, Private
34,Female,Master's,Senior Financial Advisor,6,80000, Married-civ-spouse, Self-emp-not-inc
36,Male,Bachelor's,Senior Marketing Specialist,8,95000, Married-civ-spouse, Private
30,Female,Bachelor's,Junior HR Coordinator,2,40000, Never-married, Private
37,Male,Bachelor's,Senior Business Development Manager,10,120000, Widowed, Private
45,Female,Master's,Senior Marketing Manager,16,160000, Married-civ-spouse, Self-emp-not-inc
32,Male,Bachelor's,Junior Financial Advisor,4,65000, Married-civ-spouse, Private
39,Female,Bachelor's,Senior Project Manager,12,130000, Divorced, Private
47,Male,PhD,Director of Engineering,20,180000, Never-married, Private
29,Female,Bachelor's,Junior Marketing Analyst,2,40000, Married-civ-spouse, Self-emp-not-inc
36,Male,Bachelor's,Senior Operations Manager,9,100000, Married-civ-spouse, Self-emp-not-inc
43,Female,PhD,Senior Data Scientist,15,150000, Never-married, ?
32,Male,Bachelor's,Junior Marketing Coordinator,3,55000, Married-civ-spouse, Private
38,Female,Bachelor's,Senior Business Analyst,10,110000, Married-civ-spouse, Self-emp-not-inc
48,Male,Master's,Director of Marketing,21,180000, Never-married, Private
31,Female,Bachelor's,Junior Business Development Associate,3,50000, Never-married, Private
40,Male,Bachelor's,Senior Financial Analyst,12,130000, Never-married, Private
45,Female,PhD,Senior UX Designer,16,160000, Never-married, Private
33,Male,Bachelor's,Junior Product Manager,4,60000, Married-civ-spouse, Local-gov
36,Female,Bachelor's,Senior Marketing Manager,8,95000, Married-civ-spouse, Private
47,Male,Master's,Director of Operations,19,170000, Never-married, Private
29,Female,Bachelor's,Junior Project Manager,2,40000, Never-married, Private
34,Male,Bachelor's,Senior Operations Coordinator,7,90000, Never-married, Private
44,Female,PhD,Senior Business Analyst,15,150000, Never-married, Private
33,Male,Bachelor's,Junior Marketing Specialist,5,70000, Married-civ-spouse, Private
35,Female,Bachelor's,Senior Financial Manager,8,90000, Never-married, Private
43,Male,Master's,Director of Marketing,18,170000, Married-civ-spouse, Private
31,Female,Bachelor's,Junior Financial Analyst,3,50000, Married-civ-spouse, State-gov
41,Male,Bachelor's,Senior Product Manager,14,150000, Never-married, Private
44,Female,PhD,Senior Data Engineer,16,160000, Never-married, State-gov
33,Male,Bachelor's,Junior Business Analyst,4,60000, Never-married, Self-emp-not-inc
35,Female,Bachelor's,Senior Marketing Analyst,8,85000, Married-civ-spouse, ?
45,Male,Master's,Director of Engineering,19,180000, Divorced, ?
28,Female,Bachelor's,Junior Operations Manager,1,35000, Married-spouse-absent, Private
36,Male,Bachelor's,Senior Business Development Manager,8,110000, Never-married, Private
44,Female,PhD,Senior Data Scientist,16,160000, Married-civ-spouse, Private
31,Male,Bachelor's,Junior Marketing Coordinator,3,55000, Married-civ-spouse, Private
38,Female,Bachelor's,Senior Business Analyst,10,110000, Married-civ-spouse, Private
48,Male,Master's,Director of Marketing,21,180000, Married-civ-spouse, Local-gov
31,Female,Bachelor's,Junior Business Development Associate,3,50000, Married-civ-spouse, ?
40,Male,Bachelor's,Senior Financial Analyst,12,130000, Married-civ-spouse, Federal-gov
45,Female,PhD,Senior UX Designer,16,160000, Widowed, Private
33,Male,Bachelor's,Junior Product Manager,4,60000, Married-civ-spouse, Private
36,Female,Bachelor's,Senior Marketing Manager,8,95000, Married-civ-spouse, Private
47,Male,Master's,Director of Operations,19,170000, Married-civ-spouse, Self-emp-not-inc
29,Female,Bachelor's,Junior Project Manager,2,40000, Married-civ-spouse, Private
34,Male,Bachelor's,Senior Operations Coordinator,7,90000, Married-civ-spouse, Private
44,Female,PhD,Senior Business Analyst,15,150000, Married-civ-spouse, Private
33,Male,Bachelor's,Junior Marketing Specialist,5,70000, Divorced, Private
35,Female,Bachelor's,Senior Financial Manager,8,90000, Married-spouse-absent, Private
43,Male,Master's,Director of Marketing,18,170000, Married-civ-spouse, Private
31,Female,Bachelor's,Junior Financial Analyst,3,50000, Married-civ-spouse, Self-emp-not-inc
41,Male,Bachelor's,Senior Product Manager,14,150000, Never-married, Private
44,Female,PhD,Senior Data Engineer,16,160000, Divorced, Private
33,Male,Bachelor's,Junior Business Analyst,4,60000, Divorced, Private
35,Female,Bachelor's,Senior Marketing Analyst,8,85000, Never-married, Federal-gov
43,Male,Master's,Director of Operations,19,170000, Never-married, Private
29,Female,Bachelor's,Junior Project Manager,2,40000, Married-civ-spouse, State-gov
34,Male,Bachelor's,Senior Operations Coordinator,7,90000, Married-civ-spouse, Private
44,Female,PhD,Senior Business Analyst,15,150000, Never-married, Private
32,female,phd,director of marketing,3,50000, Never-married, Local-gov
